YYYY_s,MM_s,DD_s,HH_s,mm_s,YYYY_e,MM_e,DD_e,HH_e,mm_e,Applied,Skipped,Pending,V,VF,V/A,VF/A,Remarks
2026,06,05,07,32,2026,06,05,12⚠️,37⚠️,12,17,1,4,2,0.33,17%,1%6% ses1 start
2026,06,05,12,27,2026,06,05,12,27,0,0,0,0,0,,,100%19% ses1 end
2026,06,05,12,35,2026,06,05,16,15,10,40,11,0,0,0.00,0%,0%19% ses2 start
2026,06,05,16,17,2026,06,05,22,34,21,78,15,0,0,0.00,0%,62%26% ses2 end
2026,06,05,22,37,2026,06,06,03,23,16,50,7,4,2,0.25,12%,3%38% ses3 start
2026,06,06,03,23,2026,06,06,04⚠️,04⚠️,2,3,1,1,1,0.50,50%,95%49% ses3 end
2026,06,06,03,58,2026,06,06,04,48,1,29,3,0,0,0.00,0%,10%51% ses4 start (intervened)
2026,06,06,04,51,2026,06,06,06,42,4,20,1,1,1,0.25,25%,26%53% ses4 end (InvSes starts after this)
2026,06,06,06,45,2026,06,06,07,07,0,9,0,0,0,,,86%57% ses5 start (cleared; fix applied)
2026,06,06,07,26,2026,06,06,07,26,0,0,0,0,0,,,100%58% ses5 end
2026,06,06,08,31,2026,06,06,13⚠️,36⚠️,5,48,6,0,0,0.00,0%,0%58% ses6 start
2026,06,06,13,29,2026,06,06,13,29,0,0,0,0,0,,,100%69% ses6 end
2026,06,06,13,34,2026,06,06,18,21,9,38,5,0,0,0.00,0%,1%69% ses7 start
2026,06,06,18,29,2026,06,06,18,29,0,0,0,0,0,,,100%83% ses7 end (projected)
2026,06,06,18,32,2026,06,06,19,25,1,9,0,0,0,0.00,0%,0%83% ses8 start
2026,06,06,19,26,2026,06,06,21,26,3,6,1,0,0,0.00,0%,24%85% ses8 end
