YYYY_s,MM_s,DD_s,HH_s,mm_s,YYYY_e,MM_e,DD_e,HH_e,mm_e,Applied,Skipped,Pending,V,VF,V/A,VF/A,Remarks
2026,07,15,21,49,2026,07,15,23,22,10,7,4,1,1,0.10,10%,2%23% ses01s
2026,07,15,23,29,2026,07,15,23,29,0,0,0,0,0,,,100%28% ses01e🔴
2026,07,16,01,44,2026,07,16,01⚠️,46⚠️,0,2,3,0,0,,,⚠️_BloomsTheChemist_JuniorItGovernanceAndSecurityAnalyst_202607160155.md; 1%28% ses02s
2026,07,16,02,03,2026,07,16,02,03,0,0,0,0,0,,,12%29% ses02e
2026,07,16,02,04,2026,07,16,02,25,2,23,11,0,0,0.00,0%,17%29% ses01s
2026,07,16,02,45,2026,07,16,03,39,3,16,7,0,0,0.00,0%,38%30% ses01e
2026,07,16,03,45,2026,07,16,03,45,0,0,0,0,0,,,100%34% ses01e
2026,07,16,06,45,2026,07,16,10,46,12,36,12,2,1,0.17,8%,3%34% ses02s
2026,07,16,10,51,2026,07,16,11⚠️,48⚠️,1,0,0,0,0,0.00,0%,StuartAlexanderCoPtyLtd_AssistantBrandManager_202607161054.md; 100%41% ses02e
2026,07,16,11,45,2026,07,16,14⚠️,42⚠️,11,27,10,0,0,0.00,0%,UURecruitmentPartners_PerformanceMarketingManager_202607161440.md; 0%42% ses03s
2026,07,16,14,45,2026,07,16,14,45,0,0,0,0,0,,,26%2% ses03e
2026,07,16,14,47,2026,07,16,14⚠️⚠️,59⚠️⚠️,2,7,0,0,0,0.00,0%,ClarinsTrimexPtyLtd_MarketingCoordinator_202607161458.md; TheDinnerLadies_ContentCreatorPartTime_202607161457.md; 35%3% ses01s
2026,07,16,14,59,2026,07,16,14,59,0,0,0,0,0,,,38%3% ses01e
